"TimeCreated","Id","Message"
"10/14/2025 1:37:03 AM","8224","The VSS service is shutting down due to idle timeout. "
"10/14/2025 1:36:20 AM","16384","Successfully scheduled Software Protection service for re-start at 2025-10-20T00:46:20Z. Reason: RulesEngine."
"10/14/2025 1:35:49 AM","16394","Offline downlevel migration succeeded."
"10/14/2025 1:34:48 AM","16384","Successfully scheduled Software Protection service for re-start at 2025-10-20T00:45:48Z. Reason: RulesEngine."
"10/14/2025 1:34:11 AM","1033","These policies are being excluded since they are only defined with override-only attribute.
Policy Names=(Security-SPP-Reserved-EnableNotificationMode) 
App Id=55c92734-d682-4d71-983e-d6ec3f16059f
Sku Id=2de67392-b7a7-462a-b1ca-108dd189f588"
"10/14/2025 1:34:11 AM","1034","Duplicate definition of policy found. Policy name=Security-SPP-IgnoreDeferredActivation  Priority=500"
"10/14/2025 1:34:11 AM","1034","Duplicate definition of policy found. Policy name=AAD-BlockAADWorkplaceJoin-Default  Priority=100"
"10/14/2025 1:34:11 AM","1034","Duplicate definition of policy found. Policy name=AAD-BlockAADWorkplaceJoin-Default  Priority=100"
"10/14/2025 1:34:11 AM","1034","Duplicate definition of policy found. Policy name=AAD-BlockAADWorkplaceJoin-Default  Priority=100"
"10/14/2025 1:34:11 AM","1034","Duplicate definition of policy found. Policy name=AAD-BlockAADWorkplaceJoin-Default  Priority=100"
"10/14/2025 1:34:11 AM","1034","Duplicate definition of policy found. Policy name=AAD-BlockAADWorkplaceJoin-Default  Priority=100"
"10/14/2025 1:34:11 AM","1034","Duplicate definition of policy found. Policy name=AAD-BlockAADWorkplaceJoin-Default  Priority=100"
"10/14/2025 1:34:11 AM","1034","Duplicate definition of policy found. Policy name=AAD-BlockAADWorkplaceJoin-Default  Priority=100"
"10/14/2025 1:34:11 AM","1034","Duplicate definition of policy found. Policy name=AAD-BlockAADWorkplaceJoin-Default  Priority=100"
"10/14/2025 1:34:11 AM","1034","Duplicate definition of policy found. Policy name=AAD-BlockAADWorkplaceJoin-Default  Priority=100"
"10/14/2025 1:34:11 AM","1034","Duplicate definition of policy found. Policy name=AAD-BlockAADWorkplaceJoin-Default  Priority=100"
"10/14/2025 1:34:11 AM","1034","Duplicate definition of policy found. Policy name=AAD-BlockAADWorkplaceJoin-Default  Priority=100"
"10/14/2025 1:34:11 AM","1034","Duplicate definition of policy found. Policy name=AAD-BlockAADWorkplaceJoin-Default  Priority=100"
"10/14/2025 1:34:11 AM","1034","Duplicate definition of policy found. Policy name=AAD-BlockAADWorkplaceJoin-Default  Priority=100"
"10/14/2025 1:34:11 AM","1034","Duplicate definition of policy found. Policy name=AAD-BlockAADWorkplaceJoin-Default  Priority=100"
"10/14/2025 1:34:11 AM","1034","Duplicate definition of policy found. Policy name=AAD-BlockAADWorkplaceJoin-Default  Priority=100"
"10/14/2025 1:34:11 AM","1034","Duplicate definition of policy found. Policy name=AAD-BlockAADWorkplaceJoin-Default  Priority=100"
"10/14/2025 1:34:11 AM","1034","Duplicate definition of policy found. Policy name=AAD-BlockAADWorkplaceJoin-Default  Priority=100"
"10/14/2025 1:34:11 AM","1034","Duplicate definition of policy found. Policy name=AAD-BlockAADWorkplaceJoin-Default  Priority=100"
"10/14/2025 1:34:11 AM","1034","Duplicate definition of policy found. Policy name=AAD-BlockAADWorkplaceJoin-Default  Priority=100"
"10/14/2025 1:34:11 AM","1034","Duplicate definition of policy found. Policy name=AAD-BlockAADWorkplaceJoin-Default  Priority=100"
"10/14/2025 1:34:11 AM","1034","Duplicate definition of policy found. Policy name=AAD-BlockAADWorkplaceJoin-Default  Priority=100"
"10/14/2025 1:34:09 AM","16394","Offline downlevel migration succeeded."
"10/14/2025 1:33:48 AM","16384","Successfully scheduled Software Protection service for re-start at 2025-10-20T00:45:46Z. Reason: RulesEngine."
"10/14/2025 1:33:38 AM","8195","System Restore has been disabled (Process = C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.19041.6271_none_7e26b07e7c7a5b82\TiWorker.exe -Embedding; Volume = )."
"10/14/2025 1:33:24 AM","15","Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON."
